Gene stable ID,Gene name,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSBTAG00000003489,IPCEF1,interaction protein for cytohesin exchange factors 1 [Source:VGNC Symbol_Acc:VGNC:30239],9,90897823,91060026,-1
ENSBTAG00000014505,NGRN,"neugrin, neurite outgrowth associated [Source:VGNC Symbol_Acc:VGNC:57159]",21,21635601,21641668,1
ENSBTAG00000054653,,,3,3980891,4042389,-1
ENSBTAG00000049008,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],NKLS02000330.1,5513,5632,-1
ENSBTAG00000027405,FNDC11,fibronectin type III domain containing 11 [Source:VGNC Symbol_Acc:VGNC:29061],13,54115803,54119242,-1
ENSBTAG00000009504,REEP4,receptor accessory protein 4 [Source:VGNC Symbol_Acc:VGNC:33854],8,69452228,69456335,-1
ENSBTAG00000000026,VPS33B,VPS33B late endosome and lysosome associated [Source:VGNC Symbol_Acc:VGNC:36817],21,21647398,21672875,1
ENSBTAG00000054017,,eukaryotic translation initiation factor 3 subunit G-like [Source:NCBI gene (formerly Entrezgene)_Acc:112445421],NKLS02000341.1,17334,22080,1
ENSBTAG00000001985,SRMS,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:VGNC Symbol_Acc:VGNC:35283],13,54119668,54125427,1
ENSBTAG00000048382,,,28,8007136,8008197,1
ENSBTAG00000043112,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],X,86741965,86742071,-1
ENSBTAG00000013068,GGPS1,geranylgeranyl diphosphate synthase 1 [Source:VGNC Symbol_Acc:VGNC:29343],28,8066744,8078752,1
ENSBTAG00000014294,ST7L,suppression of tumorigenicity 7 like [Source:VGNC Symbol_Acc:VGNC:35343],3,30702703,30844632,1
ENSBTAG00000052310,EIF4EBP3,eukaryotic translation initiation factor 4E binding protein 3 [Source:NCBI gene (formerly Entrezgene)_Acc:100533104],7,51722071,51724000,1
ENSBTAG00000015144,GMIP,GEM interacting protein [Source:VGNC Symbol_Acc:VGNC:29436],7,3693625,3703484,1
ENSBTAG00000044091,PTK6,protein tyrosine kinase 6 [Source:VGNC Symbol_Acc:VGNC:33520],13,54128175,54135496,1
ENSBTAG00000052035,bta-mir-7860,bta-mir-7860 [Source:miRBase_Acc:MI0025534],12,15589232,15589294,1
ENSBTAG00000049293,bta-mir-2285h,bta-mir-2285h [Source:miRBase_Acc:MI0021131],12,15629877,15629965,1
ENSBTAG00000001449,SRA1,steroid receptor RNA activator 1 [Source:VGNC Symbol_Acc:VGNC:35266],7,51724953,51730918,-1
ENSBTAG00000019070,PMP22,peripheral myelin protein 22 [Source:VGNC Symbol_Acc:VGNC:33074],19,32755609,32781362,-1
ENSBTAG00000038395,,P2Y purinoceptor 2-like [Source:NCBI gene (formerly Entrezgene)_Acc:101901911],1,108695964,108697001,1
ENSBTAG00000028375,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],9,91080533,91080641,1
ENSBTAG00000002240,GPR18,G protein-coupled receptor 18 [Source:VGNC Symbol_Acc:VGNC:29574],12,76118033,76121780,-1
ENSBTAG00000031800,PPDPF,pancreatic progenitor cell differentiation and proliferation factor [Source:NCBI gene (formerly Entrezgene)_Acc:506990],13,54136171,54137886,-1
ENSBTAG00000053591,,,NKLS02000356.1,5791,13407,-1
ENSBTAG00000047855,MECP2,methyl-CpG binding protein 2 [Source:VGNC Symbol_Acc:VGNC:31344],X,37222430,37283270,-1
ENSBTAG00000009263,MFSD1,major facilitator superfamily domain containing 1 [Source:VGNC Symbol_Acc:VGNC:31431],1,108706429,108732991,-1
ENSBTAG00000003802,TEKT3,tektin 3 [Source:VGNC Symbol_Acc:VGNC:35738],19,32815735,32849990,-1
ENSBTAG00000032084,GPR183,G protein-coupled receptor 183 [Source:VGNC Symbol_Acc:VGNC:29577],12,76165404,76180037,-1
ENSBTAG00000012674,CNKSR3,CNKSR family member 3 [Source:VGNC Symbol_Acc:VGNC:27506],9,91103523,91214302,-1
ENSBTAG00000009061,FAR1,fatty acyl-CoA reductase 1 [Source:VGNC Symbol_Acc:VGNC:28863],15,38992000,39068406,-1
ENSBTAG00000001450,APBB3,amyloid beta precursor protein binding family B member 3 [Source:VGNC Symbol_Acc:VGNC:50070],7,51731683,51737917,-1
ENSBTAG00000048664,CDK14,cyclin dependent kinase 14 [Source:NCBI gene (formerly Entrezgene)_Acc:784403],4,7937943,8616503,1
ENSBTAG00000038268,,G protein-coupled receptor 183-like [Source:NCBI gene (formerly Entrezgene)_Acc:615640],12,76259667,76267138,-1
ENSBTAG00000021685,EEF1A2,eukaryotic translation elongation factor 1 alpha 2 [Source:VGNC Symbol_Acc:VGNC:50164],13,54151514,54159711,1
ENSBTAG00000052492,,,X,37261130,37263672,-1
ENSBTAG00000011508,H3-5,H3.5 histone [Source:VGNC Symbol_Acc:VGNC:83615],16,30668107,30671708,1
ENSBTAG00000013735,TBCE,tubulin folding cofactor E [Source:VGNC Symbol_Acc:VGNC:35653],28,8099451,8188434,1
ENSBTAG00000005773,PGM2,phosphoglucomutase 2 [Source:VGNC Symbol_Acc:VGNC:32794],6,57145040,57182331,1
ENSBTAG00000053452,,,4,113007779,113011711,-1
ENSBTAG00000045856,bta-mir-3432b,bta-mir-3432b [Source:miRBase_Acc:MI0031505],7,17838214,17838310,-1
ENSBTAG00000046257,GIMAP4,"GTPase, IMAP family member 4 [Source:NCBI gene (formerly Entrezgene)_Acc:510751]",4,113066865,113074368,-1
ENSBTAG00000046916,bta-mir-2285n-1,bta-mir-2285n-1 [Source:miRBase_Acc:MI0022272],12,76309457,76309538,-1
ENSBTAG00000020299,OPN1LW,"opsin 1, long wave sensitive [Source:NCBI gene (formerly Entrezgene)_Acc:282293]",X,37321404,37333672,1
ENSBTAG00000030940,GIMAP7,"GTPase, IMAP family member 7 [Source:NCBI gene (formerly Entrezgene)_Acc:510988]",4,113112102,113120508,-1
ENSBTAG00000052370,,,6,57187550,57189388,-1
ENSBTAG00000001589,TM9SF2,transmembrane 9 superfamily member 2 [Source:VGNC Symbol_Acc:VGNC:53839],12,76343402,76394962,1
ENSBTAG00000055287,,,13,54181777,54183410,-1
ENSBTAG00000020723,,,9,91221492,91221976,1
ENSBTAG00000004652,LPAR2,lysophosphatidic acid receptor 2 [Source:VGNC Symbol_Acc:VGNC:30956],7,3704311,3708931,1
ENSBTAG00000018643,PRC1,protein regulator of cytokinesis 1 [Source:VGNC Symbol_Acc:VGNC:33285],21,21676334,21699409,1
ENSBTAG00000040331,,"GTPase, IMAP family member 1-like [Source:NCBI gene (formerly Entrezgene)_Acc:512867]",4,113131167,113139056,-1
ENSBTAG00000047946,,,1,59909220,59909921,1
ENSBTAG00000031084,CDRT4,CMT1A duplicated region transcript 4 [Source:VGNC Symbol_Acc:VGNC:55795],19,32923502,32946876,-1
ENSBTAG00000003030,KCNQ2,potassium voltage-gated channel subfamily Q member 2 [Source:VGNC Symbol_Acc:VGNC:30487],13,54187005,54214516,1
ENSBTAG00000011857,PPM1H,"protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:VGNC Symbol_Acc:VGNC:33214]",5,50634073,50938091,1
ENSBTAG00000018580,CBY2,chibby family member 2 [Source:VGNC Symbol_Acc:VGNC:35205],12,15769981,15782379,1
ENSBTAG00000020300,TEX28,testis expressed 28 [Source:VGNC Symbol_Acc:VGNC:50110],X,37333943,37341870,-1
ENSBTAG00000051729,SIAH3,siah E3 ubiquitin protein ligase family member 3 [Source:NCBI gene (formerly Entrezgene)_Acc:782125],12,15846695,15917349,-1
ENSBTAG00000042416,7SK,7SK RNA [Source:RFAM_Acc:RF00100],19,32975785,32976105,-1
ENSBTAG00000011240,,,4,113192316,113193196,1
ENSBTAG00000029994,MIRLET7I,microRNA let-7i [Source:HGNC Symbol_Acc:HGNC:31486],5,50983045,50983152,-1
ENSBTAG00000009975,PBX4,PBX homeobox 4 [Source:VGNC Symbol_Acc:VGNC:32610],7,3711139,3768733,1
ENSBTAG00000020127,TKTL1,transketolase like 1 [Source:VGNC Symbol_Acc:VGNC:35885],X,37349741,37378203,1
ENSBTAG00000048965,TVP23B,trans-golgi network vesicle protein 23 homolog B [Source:NCBI gene (formerly Entrezgene)_Acc:513550],19,32980813,32993563,-1
ENSBTAG00000005321,CADPS,calcium dependent secretion activator [Source:VGNC Symbol_Acc:VGNC:26698],22,38430995,38900735,1
ENSBTAG00000045299,bta-mir-2285b-1,bta-mir-2285b-1 [Source:miRBase_Acc:MI0011332],15,39058438,39058509,-1
ENSBTAG00000015936,BRINP1,BMP/retinoic acid inducible neural specific 1 [Source:VGNC Symbol_Acc:VGNC:26567],8,108636487,108834428,-1
ENSBTAG00000011068,MON2,"MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:VGNC Symbol_Acc:VGNC:31553]",5,50995056,51105717,-1
ENSBTAG00000042449,,,15,39162055,39162184,1
ENSBTAG00000054649,,"GTPase, IMAP family member 4-like [Source:NCBI gene (formerly Entrezgene)_Acc:768255]",4,113233116,113240464,1
ENSBTAG00000048771,,,19,32996980,33002576,-1
ENSBTAG00000019080,PTH,parathyroid hormone [Source:VGNC Symbol_Acc:VGNC:33513],15,39190651,39193192,1
ENSBTAG00000046555,WAS,WASP actin nucleation promoting factor [Source:NCBI gene (formerly Entrezgene)_Acc:107131173],X,86765550,86772520,1
ENSBTAG00000052198,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],7,3724233,3724339,-1
ENSBTAG00000030584,SLC35A4,solute carrier family 35 member A4 [Source:VGNC Symbol_Acc:VGNC:34821],7,51738224,51743133,1
ENSBTAG00000054049,,,7,102263441,102264475,1
ENSBTAG00000014969,CILP2,cartilage intermediate layer protein 2 [Source:VGNC Symbol_Acc:VGNC:27367],7,3782380,3791397,-1
ENSBTAG00000055286,MACIR,macrophage immunometabolism regulator [Source:NCBI gene (formerly Entrezgene)_Acc:538782],7,102269273,102290206,1
ENSBTAG00000015032,CD14,CD14 molecule [Source:VGNC Symbol_Acc:VGNC:27003],7,51762895,51765768,-1
ENSBTAG00000054294,,uncharacterized protein CXorf49 homolog [Source:NCBI gene (formerly Entrezgene)_Acc:112445426],NKLS02000361.1,33413,37483,-1
ENSBTAG00000051850,,,X,37391029,37393494,1
ENSBTAG00000004578,LGI3,leucine rich repeat LGI family member 3 [Source:VGNC Symbol_Acc:VGNC:30858],8,69462493,69468447,-1
ENSBTAG00000013033,BTBD10,BTB domain containing 10 [Source:VGNC Symbol_Acc:VGNC:26584],15,39210342,39285703,1
ENSBTAG00000014968,YJEFN3,YjeF N-terminal domain containing 3 [Source:VGNC Symbol_Acc:VGNC:97329],7,3791943,3802077,-1
ENSBTAG00000000965,TNNI3K,TNNI3 interacting kinase [Source:NCBI gene (formerly Entrezgene)_Acc:535940],3,70212113,70556639,-1
ENSBTAG00000006615,CASP7,caspase 7 [Source:VGNC Symbol_Acc:VGNC:26783],26,34153506,34187199,1
ENSBTAG00000049872,,,9,91264104,91264466,-1
ENSBTAG00000031764,,,13,54235833,54238433,-1
ENSBTAG00000030589,TMCO6,transmembrane and coiled-coil domains 6 [Source:VGNC Symbol_Acc:VGNC:35933],7,51772645,51778631,1
ENSBTAG00000015894,WWOX,WW domain containing oxidoreductase [Source:VGNC Symbol_Acc:VGNC:36977],18,5240349,6170333,1
ENSBTAG00000011487,PLEKHS1,pleckstrin homology domain containing S1 [Source:VGNC Symbol_Acc:VGNC:33027],26,34217848,34240431,1
ENSBTAG00000013491,EML1,EMAP like 1 [Source:VGNC Symbol_Acc:VGNC:53936],21,64706925,64908212,1
ENSBTAG00000017198,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit [Source:VGNC Symbol_Acc:VGNC:27326],13,54242438,54258140,1
ENSBTAG00000007812,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13 [Source:VGNC Symbol_Acc:VGNC:31946],7,3801697,3810659,-1
ENSBTAG00000012223,TNFSF14,TNF superfamily member 14 [Source:VGNC Symbol_Acc:VGNC:36173],7,17839032,17843838,1
ENSBTAG00000007067,ZC3H13,zinc finger CCCH-type containing 13 [Source:VGNC Symbol_Acc:VGNC:37101],12,16035557,16055518,-1
ENSBTAG00000035827,ATG7,autophagy related 7 [Source:VGNC Symbol_Acc:VGNC:26261],22,55304352,55578588,1
ENSBTAG00000054484,,,NKLS02000363.1,19797,20556,1
ENSBTAG00000011190,FLNA,filamin A [Source:VGNC Symbol_Acc:VGNC:29033],X,37397604,37422791,-1
ENSBTAG00000013801,PBX1,PBX homeobox 1 [Source:VGNC Symbol_Acc:VGNC:32607],3,4147294,4246502,-1
ENSBTAG00000012560,SFTPC,surfactant protein C [Source:VGNC Symbol_Acc:VGNC:34529],8,69474988,69478735,1
ENSBTAG00000020302,FEZF2,FEZ family zinc finger 2 [Source:VGNC Symbol_Acc:VGNC:28960],22,38926794,38931475,1
ENSBTAG00000002605,,tripartite motif containing 16 [Source:NCBI gene (formerly Entrezgene)_Acc:100848152],19,33033891,33049418,-1
ENSBTAG00000054423,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],NKLS02000402.1,6543,6662,1
ENSBTAG00000013699,TBC1D1,TBC1 domain family member 1 [Source:VGNC Symbol_Acc:VGNC:35623],6,57213813,57429961,1
ENSBTAG00000002107,FZD1,frizzled class receptor 1 [Source:VGNC Symbol_Acc:VGNC:29165],4,8665915,8670064,1
ENSBTAG00000006649,TSSK6,testis specific serine kinase 6 [Source:VGNC Symbol_Acc:VGNC:50152],7,3810680,3811501,1
ENSBTAG00000048402,,,12,16071886,16131352,-1
ENSBTAG00000050052,,"GTPase, IMAP family member 6 [Source:NCBI gene (formerly Entrezgene)_Acc:528288]",4,113262253,113268350,-1
ENSBTAG00000000943,ZNF286A,zinc finger protein 286A [Source:NCBI gene (formerly Entrezgene)_Acc:789857],19,33071705,33086901,1
ENSBTAG00000054878,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],NKLS02000402.1,27740,27859,1
ENSBTAG00000054969,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],21,21690244,21690350,1
ENSBTAG00000020193,DCLRE1A,DNA cross-link repair 1A [Source:VGNC Symbol_Acc:VGNC:27916],26,34282210,34306714,-1
ENSBTAG00000015041,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2 [Source:NCBI gene (formerly Entrezgene)_Acc:327698],7,51778423,51780743,-1
ENSBTAG00000009752,CD70,CD70 molecule [Source:VGNC Symbol_Acc:VGNC:52225],7,17903865,17908687,1
ENSBTAG00000004165,CLYBL,citramalyl-CoA lyase [Source:VGNC Symbol_Acc:VGNC:27475],12,76430686,76660289,1
ENSBTAG00000027319,,,4,8735637,8740694,1
ENSBTAG00000001889,C22H3orf14,chromosome 22 C3orf14 homolog [Source:VGNC Symbol_Acc:VGNC:49182],22,38977280,38992722,-1
ENSBTAG00000053745,,,NKLS02000412.1,35978,276373,-1
ENSBTAG00000000917,BMP1,bone morphogenetic protein 1 [Source:VGNC Symbol_Acc:VGNC:26514],8,69478799,69526082,1
ENSBTAG00000006451,GAP43,growth associated protein 43 [Source:VGNC Symbol_Acc:VGNC:29247],1,60306484,60407701,1
ENSBTAG00000008550,GIMAP7,"GTPase, IMAP family member 7 [Source:NCBI gene (formerly Entrezgene)_Acc:100125415]",4,113276469,113287212,1
ENSBTAG00000027727,,,7,102468765,102595016,-1
ENSBTAG00000014713,RARRES1,retinoic acid receptor responder 1 [Source:VGNC Symbol_Acc:VGNC:33731],1,108807496,108849597,1
ENSBTAG00000052802,,,NKLS02000412.1,84912,86009,1
ENSBTAG00000055006,,,NKLS02000412.1,155151,163269,-1
ENSBTAG00000050849,,,NKLS02000412.1,213071,228335,1
ENSBTAG00000013750,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:VGNC Symbol_Acc:VGNC:26371]",28,8187545,8253106,-1
ENSBTAG00000003034,GATAD2A,GATA zinc finger domain containing 2A [Source:VGNC Symbol_Acc:VGNC:29271],7,3816749,3913344,-1
ENSBTAG00000048337,,,4,8769961,8811475,1
ENSBTAG00000046266,TNFSF9,TNF superfamily member 9 [Source:VGNC Symbol_Acc:VGNC:36178],7,17963471,17966413,-1
ENSBTAG00000052341,,,4,9008324,9144825,-1
ENSBTAG00000045413,7SK,7SK RNA [Source:RFAM_Acc:RF00100],7,102534807,102535118,-1
ENSBTAG00000037510,,"GTPase, IMAP family member 1 [Source:NCBI gene (formerly Entrezgene)_Acc:615733]",4,113314340,113317506,1
ENSBTAG00000031917,SCAF8,SR-related CTD associated factor 8 [Source:VGNC Symbol_Acc:VGNC:52823],9,91412046,91605253,1
ENSBTAG00000031071,ZNF624,zinc finger protein 624 [Source:NCBI gene (formerly Entrezgene)_Acc:104975043],19,33088756,33101488,1
ENSBTAG00000054505,,,7,17975734,17982568,1
ENSBTAG00000049208,,,1,60367894,60368418,-1
ENSBTAG00000027728,NUDT12,nudix hydrolase 12 [Source:VGNC Symbol_Acc:VGNC:32326],7,102607083,102621109,-1
ENSBTAG00000014291,WNT2B,Wnt family member 2B [Source:VGNC Symbol_Acc:VGNC:36958],3,30790883,30805442,-1
ENSBTAG00000007073,CPB2,carboxypeptidase B2 [Source:VGNC Symbol_Acc:VGNC:27646],12,16138033,16196068,-1
ENSBTAG00000004894,GIMAP5,"GTPase, IMAP family member 5 [Source:NCBI gene (formerly Entrezgene)_Acc:505013]",4,113328043,113338736,1
ENSBTAG00000015757,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein [Source:VGNC Symbol_Acc:VGNC:32850],8,69531535,69544331,-1
ENSBTAG00000015034,IK,IK cytokine [Source:VGNC Symbol_Acc:VGNC:30100],7,51780969,51793195,1
ENSBTAG00000050959,,,18,5493574,5501805,-1
ENSBTAG00000049358,ZNF287,zinc finger protein 287 [Source:NCBI gene (formerly Entrezgene)_Acc:514947],19,33124844,33137313,1
ENSBTAG00000053215,,,3,4194378,4380142,1
ENSBTAG00000052121,,,NKLS02000412.1,316909,318876,1
ENSBTAG00000052533,bta-mir-2285al,bta-mir-2285al [Source:miRBase_Acc:MI0032949],18,5574524,5574603,1
ENSBTAG00000021013,TUBB4A,tubulin beta 4A class IVa [Source:VGNC Symbol_Acc:VGNC:36507],7,17981998,17988028,1
ENSBTAG00000051991,,,12,76587623,76590835,1
ENSBTAG00000000715,,GTPase IMAP family member 5 [Source:NCBI gene (formerly Entrezgene)_Acc:530077],4,113349198,113356352,-1
ENSBTAG00000027795,GFM1,G elongation factor mitochondrial 1 [Source:VGNC Symbol_Acc:VGNC:29327],1,108852511,108903175,-1
ENSBTAG00000049957,,,12,76709639,76711091,1
ENSBTAG00000029761,bta-mir-320a-1,bta-mir-320a-1 [Source:miRBase_Acc:MI0012211],8,69558096,69558177,-1
ENSBTAG00000046271,ZIC5,Zic family member 5 [Source:NCBI gene (formerly Entrezgene)_Acc:787451],12,76721782,76728113,-1
ENSBTAG00000025078,LRRC75A,leucine rich repeat containing 75A [Source:VGNC Symbol_Acc:VGNC:31028],19,33175247,33209224,1
ENSBTAG00000016766,TMEM176B,transmembrane protein 176B [Source:VGNC Symbol_Acc:VGNC:36001],4,113400403,113408319,-1
ENSBTAG00000045312,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],7,102873905,102874006,-1
ENSBTAG00000010036,POLR3D,RNA polymerase III subunit D [Source:VGNC Symbol_Acc:VGNC:33148],8,69558179,69564548,1
ENSBTAG00000021602,CTTNBP2NL,CTTNBP2 N-terminal like [Source:VGNC Symbol_Acc:VGNC:27823],3,30834932,30885081,-1
ENSBTAG00000025246,ZIC2,Zic family member 2 [Source:VGNC Symbol_Acc:VGNC:37185],12,76738408,76742911,1
ENSBTAG00000002908,GNG4,G protein subunit gamma 4 [Source:VGNC Symbol_Acc:VGNC:29467],28,8295602,8364199,-1
ENSBTAG00000048657,,,NKLS02000415.1,24517,24879,-1
ENSBTAG00000003014,TRPV2,transient receptor potential cation channel subfamily V member 2 [Source:VGNC Symbol_Acc:VGNC:36398],19,33213076,33230717,-1
ENSBTAG00000003690,NHLRC2,NHL repeat containing 2 [Source:VGNC Symbol_Acc:VGNC:32068],26,34306815,34362842,1
ENSBTAG00000004706,SUV39H1,suppressor of variegation 3-9 homolog 1 [Source:VGNC Symbol_Acc:VGNC:35491],X,86777328,86790232,1
ENSBTAG00000009336,LXN,latexin [Source:VGNC Symbol_Acc:VGNC:31087],1,108867031,108874756,1
ENSBTAG00000051810,,,7,17984999,17985379,-1
ENSBTAG00000048461,,germ cell-less protein-like 2 [Source:NCBI gene (formerly Entrezgene)_Acc:112445443],NKLS02000430.1,208,1203,-1
ENSBTAG00000028860,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],4,113403220,113403350,-1
ENSBTAG00000050632,,germ cell-less protein-like 2 [Source:NCBI gene (formerly Entrezgene)_Acc:112445444],NKLS02000430.1,37766,39262,-1
ENSBTAG00000004582,COL20A1,collagen type XX alpha 1 chain [Source:VGNC Symbol_Acc:VGNC:27562],13,54262435,54283294,-1
ENSBTAG00000031809,DENND1C,DENN domain containing 1C [Source:VGNC Symbol_Acc:VGNC:27994],7,17996263,18005955,1
ENSBTAG00000015835,PIWIL2,piwi like RNA-mediated gene silencing 2 [Source:VGNC Symbol_Acc:VGNC:32928],8,69591401,69669500,1
ENSBTAG00000053600,,E3 ubiquitin-protein ligase SIAH1-like [Source:NCBI gene (formerly Entrezgene)_Acc:100140342],X,86839583,86840442,1
ENSBTAG00000050797,,,3,30858577,30858980,1
ENSBTAG00000015042,WDR55,WD repeat domain 55 [Source:VGNC Symbol_Acc:VGNC:36906],7,51795499,51800408,1
ENSBTAG00000012078,TMEM176A,transmembrane protein 176A [Source:VGNC Symbol_Acc:VGNC:36000],4,113407642,113413255,1
ENSBTAG00000051735,,,26,34450629,34502062,-1
ENSBTAG00000004126,MLF1,myeloid leukemia factor 1 [Source:NCBI gene (formerly Entrezgene)_Acc:533379],1,108908179,108938862,-1
ENSBTAG00000048691,,,9,91599244,91599468,-1
ENSBTAG00000052110,GLOD5,glyoxalase domain containing 5 [Source:HGNC Symbol_Acc:HGNC:33358],X,86882113,86895682,1
ENSBTAG00000001242,ADRB1,adrenoceptor beta 1 [Source:VGNC Symbol_Acc:VGNC:50130],26,34512776,34514320,1
ENSBTAG00000044192,MAF,MAF bZIP transcription factor [Source:VGNC Symbol_Acc:VGNC:57051],18,6508023,6526480,-1
ENSBTAG00000054411,,,19,33231187,33237924,1
ENSBTAG00000051109,,histone H1-III-like [Source:NCBI gene (formerly Entrezgene)_Acc:112445449],NKLS02000467.1,4101,4796,1
ENSBTAG00000048759,,,9,91607111,91630248,1
ENSBTAG00000054906,,histone H3 [Source:NCBI gene (formerly Entrezgene)_Acc:112445452],NKLS02000467.1,5349,5759,-1
ENSBTAG00000044756,5S_rRNA,5S ribosomal RNA [Source:RFAM_Acc:RF00001],3,4460507,4460603,1
ENSBTAG00000053643,,,19,33238206,33239653,1
ENSBTAG00000054787,,,18,6582538,6657615,-1
ENSBTAG00000018845,DND1,DND microRNA-mediated repression inhibitor 1 [Source:VGNC Symbol_Acc:VGNC:28138],7,51800738,51803455,-1
ENSBTAG00000053021,,histone H4 [Source:NCBI gene (formerly Entrezgene)_Acc:112445458],NKLS02000467.1,6061,6372,1
ENSBTAG00000017246,UBB,ubiquitin B [Source:NCBI gene (formerly Entrezgene)_Acc:281370],19,33249951,33251848,-1
ENSBTAG00000045617,MTERF1,mitochondrial transcription termination factor 1 [Source:VGNC Symbol_Acc:VGNC:53661],4,9247873,9254862,-1
ENSBTAG00000003184,GATA1,GATA binding protein 1 [Source:VGNC Symbol_Acc:VGNC:29265],X,86899824,86906499,1
ENSBTAG00000048564,,,NKLS02000467.1,7669,8472,-1
ENSBTAG00000051159,,,19,33264895,33267488,-1
ENSBTAG00000052656,,histone H2B [Source:NCBI gene (formerly Entrezgene)_Acc:112445456],NKLS02000467.1,8531,8734,1
ENSBTAG00000018847,HARS1,histidyl-tRNA synthetase 1 [Source:VGNC Symbol_Acc:VGNC:29753],7,51803863,51817052,-1
ENSBTAG00000013029,ARNTL,aryl hydrocarbon receptor nuclear translocator like [Source:VGNC Symbol_Acc:VGNC:54628],15,39286444,39394387,-1
ENSBTAG00000052507,,,NKLS02000467.1,15147,15458,1
ENSBTAG00000051530,CRB3,crumbs cell polarity complex component 3 [Source:NCBI gene (formerly Entrezgene)_Acc:787466],7,18006370,18008564,-1
ENSBTAG00000013274,CENPV,centromere protein V [Source:NCBI gene (formerly Entrezgene)_Acc:521064],19,33274633,33282679,1
ENSBTAG00000049559,,,NKLS02000467.1,16755,17558,-1
ENSBTAG00000013244,HDAC6,histone deacetylase 6 [Source:VGNC Symbol_Acc:VGNC:50613],X,86914646,86934091,1
ENSBTAG00000051398,,histone H2B [Source:NCBI gene (formerly Entrezgene)_Acc:112445457],NKLS02000467.1,17617,17820,1
ENSBTAG00000005419,AOC1,amine oxidase copper containing 1 [Source:VGNC Symbol_Acc:VGNC:25972],4,113450547,113463258,1
ENSBTAG00000003491,SLC25A23,solute carrier family 25 member 23 [Source:VGNC Symbol_Acc:VGNC:55309],7,18011743,18026173,1
ENSBTAG00000051376,,,7,103162993,103169264,-1
ENSBTAG00000009293,EVL,Enah/Vasp-like [Source:VGNC Symbol_Acc:VGNC:28636],21,64912163,65089676,1
ENSBTAG00000049383,LSAMP,limbic system associated membrane protein [Source:NCBI gene (formerly Entrezgene)_Acc:100336456],1,60476794,60798351,-1
ENSBTAG00000052212,,histone H1-III-like [Source:NCBI gene (formerly Entrezgene)_Acc:112445450],NKLS02000467.1,24253,24948,1
ENSBTAG00000044689,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],7,103876051,103876146,1
ENSBTAG00000010428,USP15,ubiquitin specific peptidase 15 [Source:VGNC Symbol_Acc:VGNC:36713],5,51147112,51276079,-1
ENSBTAG00000044325,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],7,104041324,104041430,-1
ENSBTAG00000054782,,histone H3 [Source:NCBI gene (formerly Entrezgene)_Acc:112445451],NKLS02000467.1,25501,25911,-1
ENSBTAG00000020017,SLC25A41,solute carrier family 25 member 41 [Source:VGNC Symbol_Acc:VGNC:34766],7,18027580,18034407,1
ENSBTAG00000021911,PTPRG,protein tyrosine phosphatase receptor type G [Source:VGNC Symbol_Acc:VGNC:33551],22,39028434,39358064,-1
ENSBTAG00000016804,LYST,lysosomal trafficking regulator [Source:VGNC Symbol_Acc:VGNC:31115],28,8379173,8523114,-1
ENSBTAG00000050880,,,NKLS02000467.1,26213,26524,1
ENSBTAG00000020233,CCDC186,coiled-coil domain containing 186 [Source:VGNC Symbol_Acc:VGNC:26881],26,34591142,34634138,-1
ENSBTAG00000051460,,,NKLS02000467.1,27492,31004,1
ENSBTAG00000025212,HARS2,"histidyl-tRNA synthetase 2, mitochondrial [Source:VGNC Symbol_Acc:VGNC:29754]",7,51817094,51824132,1
ENSBTAG00000006124,MAU2,MAU2 sister chromatid cohesion factor [Source:VGNC Symbol_Acc:VGNC:31267],7,3930008,3965897,-1
ENSBTAG00000050054,,,NKLS02000467.1,27821,28624,-1
ENSBTAG00000054238,,,3,4476765,4481112,-1
ENSBTAG00000051272,,histone H3 [Source:NCBI gene (formerly Entrezgene)_Acc:115945173],NKLS02000467.1,31557,31967,-1
ENSBTAG00000053724,,,26,34629263,34629388,-1
ENSBTAG00000045007,SNORA70,Small nucleolar RNA SNORA70 [Source:RFAM_Acc:RF00156],15,39404178,39404323,-1
ENSBTAG00000021018,KHSRP,KH-type splicing regulatory protein [Source:VGNC Symbol_Acc:VGNC:30545],7,18035388,18047821,1
